product,common_quantity
080130031           ,5.0
080130058           ,88.0
080130059           ,88.0
080130060           ,88.0
100010025           ,40.0
100010050           ,45.0
100010141           ,30.0
100010142           ,30.0
100010143           ,30.0
100010147           ,50.0
100010148           ,28.0
100010150           ,50.0
100010151           ,50.0
100010152           ,60.0
100010154           ,55.0
100010161           ,45.0
100010163           ,45.0
100010165           ,50.0
100010167           ,45.0
100010168           ,50.0
100010169           ,50.0
100010170           ,50.0
100010171           ,50.0
100010172           ,30.0
100010175           ,45.0
100010177           ,45.0
100010178           ,63.0
100010180           ,30.0
100010181           ,50.0
100010182           ,50.0
100010183           ,50.0
100010187           ,40.0
100010188           ,50.0
100010189           ,63.0
100010190           ,40.0
100010191           ,40.0
100010192           ,24.0
100010195           ,39.0
100010196           ,45.0
100010198           ,45.0
100010199           ,51.0
100030074           ,18.0
100030104           ,9.0
100030106           ,23.0
100030107           ,60.0
100030139           ,81.0
100050122           ,19.0
100050157           ,60.0
100050179           ,60.0
100180173           ,5.0
110010043           ,60.0
110010044           ,60.0
110010045           ,57.0
110010046           ,42.0
110010048           ,72.0
110010049           ,60.0
110010050           ,60.0
110010056           ,1.0
110010057           ,1.0
110010060           ,60.0
110010061           ,60.0
110010062           ,60.0
110010063           ,60.0
110010064           ,60.0
110040028           ,6.0
110040041           ,34.0
110040065           ,70.0
120010026           ,32.0
120010027           ,32.0
120010033           ,40.0
120030025           ,9.0
120140028           ,40.0
120140029           ,40.0
120140030           ,40.0
120140031           ,40.0
120890032           ,32.0
140050019           ,105.0
140050337           ,104.0
140050341           ,16.0
140130344           ,117.0
150010032           ,50.0
150010041           ,48.0
150010042           ,14.0
150010044           ,60.0
150010045           ,60.0
150040003           ,35.0
150040014           ,54.0
160010018           ,30.0
160010020           ,49.0
160010028           ,40.0
160010046           ,30.0
160010051           ,40.0
160040001           ,56.0
160040002           ,60.0
160050052           ,56.0
170010036           ,42.0
170010038           ,42.0
170010039           ,45.0
170010042           ,30.0
170010052           ,40.0
170010054           ,42.0
170010055           ,42.0
170010056           ,42.0
170010060           ,42.0
170010062           ,42.0
170010066           ,42.0
170010067           ,14.0
170010071           ,50.0
170010093           ,42.0
170010101           ,42.0
170010104           ,50.0
170010106           ,50.0
170010110           ,42.0
170010111           ,42.0
170010115           ,42.0
170010124           ,42.0
170010132           ,40.0
170010135           ,42.0
170010141           ,42.0
170010143           ,40.0
170010145           ,42.0
170010147           ,42.0
170010157           ,7.0
170010161           ,44.0
170010162           ,42.0
170010173           ,42.0
170010181           ,42.0
170010198           ,27.0
170010208           ,40.0
170010209           ,63.0
170010214           ,42.0
170010221           ,35.0
170010231           ,30.0
170010234           ,42.0
170010236           ,42.0
170010237           ,30.0
170010241           ,30.0
170010243           ,10.0
170010244           ,1.0
170010250           ,30.0
170010252           ,42.0
170010254           ,21.0
170010255           ,35.0
170010258           ,50.0
170010260           ,30.0
170010264           ,43.0
170010265           ,15.0
170010266           ,56.0
170010267           ,1.0
170010269           ,20.0
170010271           ,30.0
170010275           ,30.0
170010276           ,30.0
170010278           ,30.0
170010279           ,42.0
170010281           ,30.0
170010282           ,30.0
170010284           ,19.0
170010286           ,45.0
170010287           ,45.0
170010288           ,30.0
170010289           ,30.0
170010290           ,60.0
170010291           ,40.0
170010292           ,63.0
170010294           ,42.0
170010295           ,42.0
170010298           ,42.0
170010299           ,42.0
170010300           ,42.0
170010301           ,40.0
170010302           ,42.0
170010303           ,60.0
170010304           ,60.0
170010305           ,49.0
170010306           ,49.0
170010307           ,63.0
170010308           ,63.0
170010310           ,49.0
170010311           ,42.0
170010312           ,28.0
170010313           ,70.0
180010003           ,30.0
180010004           ,65.0
180010005           ,40.0
180010018           ,80.0
180820020           ,70.0
180820021           ,50.0
180820022           ,30.0
180820023           ,3.0
180820025           ,20.0
180820026           ,20.0
180820027           ,3.0
180820028           ,20.0
190010027           ,81.0
190010035           ,29.0
190010046           ,40.0
190010052           ,32.0
190010068           ,25.0
190010093           ,40.0
190010105           ,40.0
190010106           ,25.0
190010108           ,35.0
190010112           ,35.0
190010113           ,35.0
190010115           ,35.0
190010120           ,35.0
190010121           ,35.0
190010122           ,25.0
190010123           ,25.0
190010125           ,17.0
190010126           ,50.0
190010127           ,25.0
190010128           ,25.0
190010129           ,40.0
190010132           ,40.0
190010133           ,50.0
190010134           ,40.0
190010135           ,40.0
190010136           ,40.0
190010137           ,40.0
190010138           ,25.0
190010139           ,81.0
190010140           ,35.0
190010141           ,28.0
190010145           ,36.0
190010150           ,36.0
190010151           ,36.0
190010152           ,50.0
190010153           ,56.0
190010158           ,56.0
190040018           ,15.0
190040047           ,39.0
190040124           ,37.0
190040142           ,56.0
190040143           ,56.0
190040144           ,50.0
190040148           ,48.0
190040149           ,56.0
190040154           ,56.0
190040155           ,40.0
190050156           ,8.0
190050157           ,36.0
210010019           ,105.0
210030020           ,105.0
210060008           ,29.0
210070007           ,37.0
220010019           ,8.0
220010021           ,60.0
220010024           ,60.0
220010025           ,60.0
220010026           ,50.0
500010017           ,20.0
510010003           ,25.0
510010024           ,30.0
520010006           ,50.0
580010008           ,30.0
580010012           ,30.0
580010014           ,50.0
580010016           ,30.0
580010020           ,50.0
580010021           ,45.0
580010022           ,45.0
580010023           ,50.0
580010024           ,45.0
580040019           ,64.0
580180018           ,20.0
